date	intc
19841130	0.026671142
19841231	-0.017695649
19850131	0.093681582
19850228	-0.093684502
19850329	-0.008970111
19850430	-0.009050836
19850531	-0.041770361
19850628	-0.014322073
19850731	0.082998335
19850830	-0.083001247
19850930	-0.009666571
19851031	-0.009757449
19851129	0.111228267
19851231	0.025979589
19860131	-0.034788151
19860228	-0.017858518
19860331	-0.065136033
19860430	0.09180404
19860530	-0.044850933
19860630	-0.169555392
19860731	-0.231326944
19860829	0.231325984
19860930	-0.165075135
19861031	0.037738847
19861128	0.127337248
19861231	-0.090975588
19870130	0.397500138
19870227	0.195566784
19870331	0.032360699
19870430	0.180194296
19870529	-0.068803604
19870630	0.002845946
19870731	0.081791946
19870831	0.099582857
19870930	0.090562564
19871030	-0.392568626
19871130	-0.190047324
19871231	0.209093307
19880129	-0.038470595
19880229	0.102412174
19880331	0.039047621
19880429	0.053844038
19880531	-0.008092657
19880630	0.16109792
19880729	-0.0388032
19880831	-0.215969348
19880930	-0.018021415
19881031	-0.105360516
19881130	-0.200672918
19881230	0.159428158
19890131	0.090516892
19890228	-0.009666571
19890331	0.019233838
19890428	0.099628117
19890531	0.113944567
19890630	-0.113941673
19890731	0.050426919
19890831	-0.016525802
19890929	0.072320662
19891031	0.045460819
19891130	0.029199514
19891229	-0.007215973
19900131	0.1353435
19900228	0.018811941
19900330	0.036592262
19900430	-0.055396438
19900531	0.200095985
19900629	-0.026251577
19900731	-0.05465684
19900831	-0.287682072
19900928	-0.003757049
19901031	0.007491866
19901130	0.112792827
19901231	0.026320555
19910131	0.17253213
19910228	0.042791254
19910328	-0.021162351
19910430	0.05209897
19910531	0.123968312
19910628	-0.181425958
19910731	0.01069263
19910830	0.051823654
19910930	-0.158362872
19911031	-0.039219113
19911129	0.009187664
19911231	0.178246599
19920131	0.20043976
19920228	0.058778212
19920331	-0.139170118
19920430	-0.032182341
19920529	-0.067658048
19920630	0.131028262
19920731	0.047122107
19920831	-0.029727516
19920930	0.125416052
19921030	0.027751345
19921130	0.057570551
19921231	0.196208025
19930129	0.205517114
19930226	0.087397136
19930331	-0.012963666
19930430	-0.188693817
19930528	0.153210238
19930630	-0.007921291
19930730	-0.050335858
19930831	0.206745841
19930930	0.096373251
19931029	-0.111266812
19931130	-0.028060026
19931231	0.00809713
19940131	0.051861633
19940228	0.052250836
19940331	-0.018347287
19940429	-0.100439311
19940531	0.024292533
19940630	-0.066139803
19940729	0.013833869
19940831	0.104089709
19940930	-0.066823797
19941031	0.011078407
19941130	0.01597177
19941230	0.011809987
19950131	0.083467605
19950228	0.139370561
19950331	0.062279722
19950428	0.188046803
19950531	0.092086809
19950630	0.120499343
19950731	0.026924267
19950831	-0.057385498
19950929	-0.018500076
19951031	0.148773391
19951130	-0.137883707
19951229	-0.070164987
19960131	-0.026343975
19960229	0.062768205
19960329	-0.033494738
19960430	0.175557062
19960531	0.10830717
19960628	-0.027700131
19960731	0.02338444
19960830	0.0605305
19960930	0.178790329
19961031	0.141325936
19961129	0.14385789
19961231	0.031518047
19970131	0.214724208
19970228	-0.13419447
19970331	-0.019570254
19970430	0.096209775
19970530	-0.010666687
19970630	-0.066075702
19970731	0.258719168
19970829	0.003394233
19970930	0.002037922
19971031	-0.180982454
19971128	0.00808721
19971231	-0.099831385
19980130	0.142757451
19980227	0.101879464
19980331	-0.138825381
19980430	0.034990625
19980529	-0.123309529
19980630	0.036929629
19980731	0.130256034
19980831	-0.170278368
19980930	0.186122657
19981030	0.039307248
19981130	0.188287061
19981231	0.096790901
19990129	0.172877098
19990226	-0.16101418
19990331	-0.008899483
19990430	0.029014965
19990528	-0.123252968
19990630	0.095837314
19990730	0.148126859
19990831	0.175263373
19990930	-0.100726823
19991029	0.041189927
19991130	-0.009343515
19991231	0.070784599
20000131	0.183961877
20000229	0.133166326
20000331	0.154941795
20000428	-0.039614391
20000531	-0.016657977
20000630	0.069693959
20000731	-0.001400981
20000831	0.115068243
20000929	-0.588625016
20001031	0.079467157
20001130	-0.166905005
20001229	-0.235950208
20010131	0.20763999
20010228	-0.25812327
20010330	-0.082045545
20010430	0.161038334
20010531	-0.13413729
20010629	0.079670331
20010731	0.018968947
20010831	-0.063355222
20010928	-0.313287101
20011031	0.177911848
20011130	0.29136279
20011231	-0.03775379
20020131	0.108091782
20020228	-0.20413781
20020328	0.063115634
20020430	-0.061014073
20020531	-0.03448793
20020628	-0.41327553
20020731	0.028062538
20020830	-0.118513302
20020930	-0.182445564
20021031	0.219537056
20021129	0.1890406
20021231	-0.293445315
20030131	0.008315332
20030228	0.095891829
20030331	-0.058455726
20030430	0.120782976
20030530	0.126156767
20030630	-0.000480115
20030731	0.179032821
20030829	0.139292267
20030930	-0.038148488
20031031	0.180077374
20031128	0.018340775
20031231	-0.045436793
